,Trig,Date,Time UT,Ra,Dec,Sat
408,658744958,2021-11-16,8:42:34,124.94,-55.85,Fermi
409,658971499,2021-11-18,23:38:15,21.59,70.02,Fermi
410,659106591,2021-11-20,13:09:47,47.94,47.14,Fermi
411,659183098,2021-11-21,10:24:53,98.99,-29.57,Fermi
412,659413798,2021-11-24,2:29:54,94.967,-61.433,Fermi
413,659717239,2021-11-27,14:47:14,224.683,62.567,Fermi
414,659872271,2021-11-29,9:51:06,271.36,22.6,Fermi
415,659978192,2021-11-30,15:16:27,18.33,-24.31,Fermi
416,660084177,2021-12-01,20:42:53,339.41,-7.22,Fermi
417,660017039,2021-12-01,2:03:55,30.88,-59.03,Fermi
418,660075696,2021-12-01,18:21:31,301.067,-77.583,Fermi
419,660281261,2021-12-04,3:27:36,35.57,-63.81,Fermi
420,660311410,2021-12-04,11:50:06,264.16,13.4,Fermi
421,660346625,2021-12-04,21:37:01,343.6,52.71,Fermi
422,660707847,2021-12-09,1:57:22,245.7,-46.617,Fermi
423,660736561,2021-12-09,9:55:56,166.15,-68.883,Fermi
424,660868196,2021-12-10,22:29:51,308.39,-3.98,Fermi
425,660921004,2021-12-11,13:10:00,211.31,27.15,Fermi
